"","x"
"IgG.SOSIP",-0.541810106936545
"IgG.gp120.ZM109F",-0.402740034885448
"IgG.gp41.HXBc2",-0.142218775837284
"IgG.IIIb.pr55.Gag",-0.0922250077581517
"IgG.gp120.TRO",-0.067634777514968
"IgG.Chiang.Mai.gp120",-0.0613587056363219
"IgG.HIV1.Vif",-0.0600977674032333
"IgG.gp120.PVO",-0.057727498748919
"IgG.gp120.CM235",-0.0526702613421999
"IgG.HIV1.Rev",-0.0418036215779128
"IgG.gp140.Clade.B",0.00754421448168119
"IgG.HIV1.Integrase",0.0492455411392596
"IgG.93TH975.gp120",0.0985399854366858
"IgG.gp120.YU2",0.100659762087173
"IgG.gp120.Du156.12",0.124225750007543
"IgG.gp120.SF162",0.1659812741259
"IgG.p24.HXBc2",0.236955634311097
"IgG.gp140.CN54",0.298866146937955
"IgG.gp120.Du151",0.352849589358536
"IgG.gp120.BAL",0.387077999956707
"IgG.gp120.IIIb",0.475883713507361
